City,Lat,Lng,Country,ISO2,State,Capital,Population,Population_Proper,State Long,Biome,Rainfall Rating,Rainfall Highest,Rainfall Highest Year,Rainfall Rating LA,Rainfall Highest LA,Rainfall Highest Year LA,Rainfall Rating Lowest,Rainfall Lowest,Rainfall Lowest Year,Rainfall Rating Lowest LA,Rainfall Lowest LA,Rainfall Lowest Year LA,Forestfire Rating,Forestfire Highest,Forestfire Highest Year,Forestfire Rating LA,Forestfire Highest LA,Forestfire Highest Year LA,Forestfire Rating Lowest,Forestfire Lowest,Forestfire Lowest Year,Forestfire Rating Lowest LA,Forestfire Lowest LA,Forestfire Lowest Year LA
Rio Branco,-9.966667,-67.8,Brazil,BR,AC,admin,257642,257642,Acre,LA,19,1619,2011,8,2055,2006,20,"1,927",2001,6,2012.4,2015,10,"7,042",2017,6,"7,042",2017,12,434,2000,2,434,2000
Maceio,-9.652406,-35.722433,Brazil,BR,AL,admin,1186000,814431,Alagoas,Non-LA,7,2373,2011,,,,16,"1,605",2001,,,,24,159,2017,,,,4,123,2000,,,
Manaus,-3.113333,-60.025278,Brazil,BR,AM,admin,1753000,1520244,Amazonas,LA,3,2780,2011,2,2305,2006,19,"1,798",2001,5,1735.7,2015,5,"14,798",2017,5,"14,798",2017,14,853,2000,3,853,2000
Macapa,0.035158,-51.061633,Brazil,BR,AP,admin,499166,368397,Amapa,LA,5,2558,2011,4,2820,2006,22,"2,114",2001,7,2421.8,2015,16,"1,465",2017,8,,,7,253,2000,,,
Salvador,-12.983333,-38.516667,Brazil,BR,BA,admin,3484000,2678845,Bahia,Non-LA,12,2169,2011,,,,18,"1,777",2001,,,,9,"8,249",2017,,,,19,"3,993",2000,,,
Fortaleza,-3.737464,-38.546167,Brazil,BR,CE,admin,3602319,2315116,Ceara,Non-LA,8,2261,2011,,,,7,825,2001,,,,14,"2,555",2017,,,,15,"2,211",2000,,,
Brazilia,-15.77972,-47.92972,Brazil,BR,DF,admin,2570160,3015268,Distrito Federal,Non-LA,22,1559,2011,,,,11,"1,286",2001,,,,20,410,2017,,,,2,48,2000,,,
Vitoria,-20.332179,-40.345011,Brazil,BR,ES,admin,1704000,312656,Espirito Santo,Non-LA,21,1591,2011,,,,3,362,2001,,,,23,234,2017,,,,6,175,2000,,,
Goiania,-16.701028,-49.266793,Brazil,BR,GO,admin,2022000,1171195,Goias,Non-LA,16,1813,2011,,,,17,"1,767",2001,,,,8,"8,705",2017,,,,18,"3,808",2000,,,
Sao Luis,-2.532519,-44.296299,Brazil,BR,MA,admin,1038000,11385,Maranhao,LA,4,2713,2011,3,2354,2006,24,"2,480",2001,4,1507.2,2015,3,"28,639",2017,3,"28,639",2017,23,"8,983",2000,5,"8,983",2000
