Ano;Bioma;Categoria;Estado;Número de registros;Período;Área Desmatada (Ha)
Até 2012;Amazônia Legal;Desflorestamento;Acre;1;31/12/2012;2074194,28
Até 2012;Amazônia Legal;Desflorestamento;Amapá;1;31/12/2012;300224,71
Até 2012;Amazônia Legal;Desflorestamento;Amazonas;1;31/12/2012;3509103,62
Até 2012;Amazônia Legal;Desflorestamento;Maranhão;1;31/12/2012;10792084,54
Até 2012;Amazônia Legal;Desflorestamento;Mato Grosso;1;31/12/2012;20828885,18
Até 2012;Amazônia Legal;Desflorestamento;Pará;1;31/12/2012;25390530,66
Até 2012;Amazônia Legal;Desflorestamento;Rondônia;1;31/12/2012;8605776,5
Até 2012;Amazônia Legal;Desflorestamento;Roraima;1;31/12/2012;977165,84
Até 2012;Amazônia Legal;Desflorestamento;Tocantins;1;31/12/2012;3023086,37
2013;Amazônia Legal;Desflorestamento;Acre;1;31/12/2013;20024
2013;Amazônia Legal;Desflorestamento;Amapá;1;31/12/2013;2478,37
2013;Amazônia Legal;Desflorestamento;Amazonas;1;31/12/2013;48097,35
2013;Amazônia Legal;Desflorestamento;Maranhão;1;31/12/2013;29739,34
2013;Amazônia Legal;Desflorestamento;Mato Grosso;1;31/12/2013;110654,39
2013;Amazônia Legal;Desflorestamento;Pará;1;31/12/2013;210086,32
2013;Amazônia Legal;Desflorestamento;Rondônia;1;31/12/2013;96388,66
2013;Amazônia Legal;Desflorestamento;Roraima;1;31/12/2013;14841,41
2013;Amazônia Legal;Desflorestamento;Tocantins;1;31/12/2013;7711,6
2013;Amazônia Legal;Resíduo;Acre;1;31/12/2013;472,69
2013;Amazônia Legal;Resíduo;Amazonas;1;31/12/2013;759,17
2013;Amazônia Legal;Resíduo;Maranhão;1;31/12/2013;249,59
2013;Amazônia Legal;Resíduo;Mato Grosso;1;31/12/2013;2628,3
2013;Amazônia Legal;Resíduo;Pará;1;31/12/2013;3432,34
2013;Amazônia Legal;Resíduo;Rondônia;1;31/12/2013;682,28
2013;Amazônia Legal;Resíduo;Roraima;1;31/12/2013;522,46
2013;Amazônia Legal;Resíduo;Tocantins;1;31/12/2013;63,71
2014;Amazônia Legal;Desflorestamento;Acre;1;31/12/2014;34860,95
2014;Amazônia Legal;Desflorestamento;Amapá;1;31/12/2014;2910,54
2014;Amazônia Legal;Desflorestamento;Amazonas;1;31/12/2014;55282,43
2014;Amazônia Legal;Desflorestamento;Maranhão;1;31/12/2014;28636,54
2014;Amazônia Legal;Desflorestamento;Mato Grosso;1;31/12/2014;110620,99
2014;Amazônia Legal;Desflorestamento;Pará;1;31/12/2014;179688,99
2014;Amazônia Legal;Desflorestamento;Rondônia;1;31/12/2014;76130,2
2014;Amazônia Legal;Desflorestamento;Roraima;1;31/12/2014;18905,89
2014;Amazônia Legal;Desflorestamento;Tocantins;1;31/12/2014;4506,4
2014;Amazônia Legal;Resíduo;Acre;1;31/12/2014;385,42
2014;Amazônia Legal;Resíduo;Amazonas;1;31/12/2014;923,49
2014;Amazônia Legal;Resíduo;Maranhão;1;31/12/2014;231,45
2014;Amazônia Legal;Resíduo;Mato Grosso;1;31/12/2014;765,59
2014;Amazônia Legal;Resíduo;Pará;1;31/12/2014;3301,1
2014;Amazônia Legal;Resíduo;Rondônia;1;31/12/2014;753,16
2014;Amazônia Legal;Resíduo;Roraima;1;31/12/2014;166,36
2014;Amazônia Legal;Resíduo;Tocantins;1;31/12/2014;28,86
2015;Amazônia Legal;Desflorestamento;Acre;1;31/12/2015;22300,37
2015;Amazônia Legal;Desflorestamento;Amapá;1;31/12/2015;1910,93
2015;Amazônia Legal;Desflorestamento;Amazonas;1;31/12/2015;68735,93
2015;Amazônia Legal;Desflorestamento;Maranhão;1;31/12/2015;21741,8
2015;Amazônia Legal;Desflorestamento;Mato Grosso;1;31/12/2015;149552,3
2015;Amazônia Legal;Desflorestamento;Pará;1;31/12/2015;230509,33
2015;Amazônia Legal;Desflorestamento;Rondônia;1;31/12/2015;96072,15
2015;Amazônia Legal;Desflorestamento;Roraima;1;31/12/2015;15429,36
2015;Amazônia Legal;Desflorestamento;Tocantins;1;31/12/2015;5530,11
2015;Amazônia Legal;Resíduo;Acre;1;31/12/2015;24108,15
2015;Amazônia Legal;Resíduo;Amapá;1;31/12/2015;2686,59
2015;Amazônia Legal;Resíduo;Amazonas;1;31/12/2015;20517,78
2015;Amazônia Legal;Resíduo;Maranhão;1;31/12/2015;12263,69
2015;Amazônia Legal;Resíduo;Mato Grosso;1;31/12/2015;17959,1
2015;Amazônia Legal;Resíduo;Pará;1;31/12/2015;58200,4
2015;Amazônia Legal;Resíduo;Rondônia;1;31/12/2015;12603,19
2015;Amazônia Legal;Resíduo;Roraima;1;31/12/2015;8214,9
2015;Amazônia Legal;Resíduo;Tocantins;1;31/12/2015;1918,77
