,State,Year,Month,Precipitation,Number of Fires
0,AC,1998,Jan,335.5,0.0
1,AC,1998,Mar,396.7,0.0
2,AC,1998,Apr,102.7,0.0
3,AC,1998,May,19.0,0.0
4,AC,1998,Jun,5.0,3.0
5,AC,1998,Jul,38.6,37.0
6,AC,1998,Aug,63.0,130.0
7,AC,1998,Sep,61.6,509.0
8,AC,1998,Oct,265.6,44.0
9,AC,1998,Nov,304.8,0.0
10,AC,1998,Dec,404.2,7.0
11,AC,1999,Jan,463.6,0.0
12,AC,1999,Mar,222.2,0.0
13,AC,1999,Apr,188.5,0.0
14,AC,1999,May,134.3,0.0
15,AC,1999,Jun,52.7,0.0
16,AC,1999,Jul,42.8,1.0
17,AC,1999,Aug,81.4,63.0
18,AC,1999,Sep,185.5,209.0
19,AC,1999,Oct,163.2,60.0
20,AC,1999,Nov,158.7,0.0
21,AC,1999,Dec,280.2,0.0
22,AC,2000,Jan,188.8,0.0
23,AC,2000,Mar,151.2,11.0
24,AC,2000,Apr,244.6,1.0
25,AC,2000,May,60.2,1.0
26,AC,2000,Jun,8.9,1.0
27,AC,2000,Jul,54.2,1.0
28,AC,2000,Aug,29.4,136.0
29,AC,2000,Sep,140.1,265.0
30,AC,2000,Oct,168.9,18.0
31,AC,2000,Nov,187.2,0.0
32,AC,2000,Dec,211.6,0.0
33,AC,2001,Jan,317.2,0.0
34,AC,2001,Mar,361.5,0.0
35,AC,2001,Apr,199.9,0.0
36,AC,2001,May,125.9,0.0
37,AC,2001,Jun,41.8,1.0
38,AC,2001,Jul,36.8,3.0
39,AC,2001,Aug,2.5,396.0
40,AC,2001,Sep,25.7,290.0
41,AC,2001,Oct,148.7,137.0
42,AC,2001,Nov,159.5,1.0
43,AC,2001,Dec,286.7,0.0
44,AC,2002,Jan,217.3,0.0
45,AC,2002,Mar,225.5,0.0
46,AC,2002,Apr,261.3,0.0
47,AC,2002,May,104.3,0.0
48,AC,2002,Jun,45.0,0.0
49,AC,2002,Jul,16.7,39.0
50,AC,2002,Aug,124.7,728.0
51,AC,2002,Sep,45.5,1.949
52,AC,2002,Oct,173.3,687.0
53,AC,2002,Nov,126.9,86.0
54,AC,2002,Dec,245.9,1.0
55,AC,2003,Jan,286.5,10.0
56,AC,2003,Mar,246.3,0.0
57,AC,2003,Apr,172.6,1.0
58,AC,2003,May,131.6,6.0
59,AC,2003,Jun,28.2,0.0
60,AC,2003,Jul,17.0,168.0
61,AC,2003,Aug,93.0,1.976
62,AC,2003,Sep,155.9,3.9419999999999997
63,AC,2003,Oct,36.2,740.0
64,AC,2003,Nov,116.7,15.0
65,AC,2003,Dec,246.6,1.0
66,AC,2004,Jan,214.5,0.0
67,AC,2004,Mar,469.5,0.0
68,AC,2004,Apr,104.2,2.0
69,AC,2004,May,123.7,7.0
70,AC,2004,Jun,53.5,5.0
71,AC,2004,Jul,46.6,42.0
72,AC,2004,Aug,58.5,645.0
73,AC,2004,Sep,35.6,1.9780000000000002
74,AC,2004,Oct,256.9,461.0
75,AC,2004,Nov,288.2,10.0
76,AC,2004,Dec,167.6,7.0
77,AC,2005,Jan,140.0,12.0
78,AC,2005,Mar,218.8,3.0
79,AC,2005,Apr,229.4,1.0
80,AC,2005,May,49.4,2.0
81,AC,2005,Jun,25.0,27.0
82,AC,2005,Jul,6.3,368.0
83,AC,2005,Aug,0.0,4.198
84,AC,2005,Sep,23.2,4.253
85,AC,2005,Oct,194.6,547.0
86,AC,2005,Nov,131.7,14.0
87,AC,2005,Dec,338.8,2.0
88,AC,2006,Jan,212.3,4.0
89,AC,2006,Mar,181.7,0.0
90,AC,2006,Apr,230.0,0.0
91,AC,2006,May,98.1,8.0
92,AC,2006,Jun,16.2,1.0
93,AC,2006,Jul,5.5,33.0
94,AC,2006,Aug,66.7,839.0
95,AC,2006,Sep,91.3,2.37
96,AC,2006,Oct,136.6,316.0
97,AC,2006,Nov,233.2,18.0
98,AC,2006,Dec,410.0,0.0
99,AC,2007,Jan,348.2,0.0
100,AC,2007,Mar,246.3,2.0
101,AC,2007,Apr,122.8,0.0
102,AC,2007,May,30.5,1.0
103,AC,2007,Jun,51.3,4.0
104,AC,2007,Jul,20.3,29.0
105,AC,2007,Aug,38.3,960.0
106,AC,2007,Sep,150.6,2.08
107,AC,2007,Oct,122.6,203.0
108,AC,2007,Nov,145.6,7.0
109,AC,2007,Dec,221.8,0.0
110,AC,2008,Jan,349.8,0.0
111,AC,2008,Mar,179.0,0.0
112,AC,2008,Apr,139.5,0.0
113,AC,2008,May,54.7,0.0
114,AC,2008,Jun,11.4,0.0
115,AC,2008,Jul,72.6,41.0
116,AC,2008,Aug,32.2,445.0
117,AC,2008,Sep,41.8,1.666
118,AC,2008,Oct,159.4,652.0
119,AC,2008,Nov,228.9,4.0
120,AC,2008,Dec,287.3,0.0
121,AC,2009,Jan,173.7,0.0
122,AC,2009,Mar,201.6,1.0
123,AC,2009,Apr,441.0,0.0
124,AC,2009,May,150.6,3.0
125,AC,2009,Jun,26.3,0.0
126,AC,2009,Jul,30.8,31.0
127,AC,2009,Aug,132.0,194.0
128,AC,2009,Sep,78.1,1.265
129,AC,2009,Oct,118.3,565.0
130,AC,2009,Nov,249.3,33.0
131,AC,2009,Dec,377.1,1.0
132,AC,2010,Jan,371.6,1.0
133,AC,2010,Mar,314.7,0.0
134,AC,2010,Apr,44.2,3.0
135,AC,2010,May,90.1,9.0
136,AC,2010,Jun,32.1,1.0
137,AC,2010,Jul,0.6,126.0
138,AC,2010,Aug,37.5,1.682
139,AC,2010,Sep,22.9,2.531
140,AC,2010,Oct,178.3,292.0
141,AC,2010,Nov,175.4,39.0
142,AC,2010,Dec,237.4,0.0
143,AC,2011,Jan,209.9,0.0
144,AC,2011,Mar,263.3,0.0
145,AC,2011,Apr,213.5,2.0
146,AC,2011,May,50.2,3.0
147,AC,2011,Jun,20.8,10.0
148,AC,2011,Jul,1.8,93.0
149,AC,2011,Aug,30.9,425.0
150,AC,2011,Sep,135.8,1.204
151,AC,2011,Oct,99.9,97.0
152,AC,2011,Nov,289.7,74.0
153,AC,2011,Dec,127.2,4.0
154,AC,2012,Jan,404.4,0.0
155,AC,2012,Mar,316.8,1.0
156,AC,2012,Apr,162.5,1.0
157,AC,2012,May,127.2,3.0
158,AC,2012,Jun,182.0,7.0
159,AC,2012,Jul,63.1,71.0
160,AC,2012,Aug,96.7,739.0
161,AC,2012,Sep,51.3,1.996
162,AC,2012,Oct,188.3,348.0
163,AC,2012,Nov,372.3,13.0
164,AC,2012,Dec,272.4,1.0
165,AC,2013,Jan,315.1,0.0
166,AC,2013,Mar,411.2,2.0
167,AC,2013,Apr,69.6,19.0
168,AC,2013,May,34.2,4.0
169,AC,2013,Jun,138.1,8.0
170,AC,2013,Jul,49.7,54.0
171,AC,2013,Aug,48.4,679.0
172,AC,2013,Sep,80.6,2.136
173,AC,2013,Oct,156.4,258.0
174,AC,2013,Nov,241.2,79.0
175,AC,2013,Dec,284.2,3.0
176,AC,2014,Jan,512.2,0.0
177,AC,2014,Mar,383.1,1.0
178,AC,2014,Apr,244.1,7.0
179,AC,2014,May,205.6,1.0
180,AC,2014,Jun,35.3,17.0
181,AC,2014,Jul,12.2,60.0
182,AC,2014,Aug,79.2,1.1
183,AC,2014,Sep,221.3,2.175
184,AC,2014,Oct,118.1,406.0
185,AC,2014,Nov,195.6,56.0
186,AC,2014,Dec,165.0,6.0
187,AC,2015,Jan,240.4,1.0
188,AC,2015,Mar,282.1,2.0
189,AC,2015,Apr,212.2,3.0
190,AC,2015,May,170.2,2.0
191,AC,2015,Jun,57.5,40.0
192,AC,2015,Jul,5.9,109.0
193,AC,2015,Aug,46.8,1.3969999999999998
194,AC,2015,Sep,105.4,2.928
195,AC,2015,Oct,97.8,905.0
196,AC,2015,Nov,327.1,115.0
197,AC,2015,Dec,179.1,8.0
198,AC,2016,Jan,96.3,12.0
199,AC,2016,Mar,227.5,0.0
200,AC,2016,Apr,318.3,0.0
201,AC,2016,May,94.0,21.0
202,AC,2016,Jun,2.0,87.0
203,AC,2016,Jul,11.7,533.0
204,AC,2016,Aug,30.6,2.188
205,AC,2016,Sep,80.2,3.5860000000000003
206,AC,2016,Oct,211.3,509.0
207,AC,2016,Nov,169.9,46.0
208,AC,2016,Dec,219.3,6.0
209,AC,2017,Jan,405.2,0.0
210,AC,2017,Mar,419.8,0.0
211,AC,2017,Apr,205.3,1.0
212,AC,2017,May,101.6,10.0
213,AC,2017,Jun,25.4,45.0
214,AC,2017,Jul,24.6,457.0
215,AC,2017,Aug,63.4,1.493
216,AC,2017,Sep,84.4,3.429
217,AC,2017,Oct,110.9,1.508
218,AC,2017,Nov,213.2,98.0
219,AL,1998,Jan,71.3,0.0
220,AL,1998,Mar,23.8,0.0
221,AL,1998,Apr,101.3,0.0
222,AL,1998,May,241.0,0.0
223,AL,1998,Jun,162.2,0.0
224,AL,1998,Jul,193.1,0.0
225,AL,1998,Aug,181.5,1.0
226,AL,1998,Sep,44.4,14.0
227,AL,1998,Oct,36.6,20.0
228,AL,1998,Nov,0.7,19.0
229,AL,1998,Dec,16.3,32.0
230,AL,1999,Jan,21.3,58.0
231,AL,1999,Mar,49.4,52.0
232,AL,1999,Apr,44.9,4.0
233,AL,1999,May,216.6,1.0
234,AL,1999,Jun,208.9,0.0
235,AL,1999,Jul,232.6,0.0
236,AL,1999,Aug,137.7,3.0
237,AL,1999,Sep,89.2,3.0
238,AL,1999,Oct,160.1,4.0
239,AL,1999,Nov,21.6,15.0
240,AL,1999,Dec,33.0,12.0
241,AL,2000,Jan,90.0,11.0
242,AL,2000,Mar,136.0,32.0
243,AL,2000,Apr,404.2,20.0
244,AL,2000,May,300.3,1.0
245,AL,2000,Jun,235.4,0.0
246,AL,2000,Jul,393.5,0.0
247,AL,2000,Aug,300.2,4.0
248,AL,2000,Sep,426.9,22.0
249,AL,2000,Oct,64.2,13.0
250,AL,2000,Nov,55.7,2.0
251,AL,2001,Jan,27.6,5.0
252,AL,2001,Mar,64.4,0.0
253,AL,2001,Apr,128.8,0.0
254,AL,2001,May,49.9,2.0
255,AL,2001,Jun,413.4,2.0
256,AL,2001,Jul,271.2,0.0
257,AL,2001,Aug,198.7,1.0
258,AL,2001,Sep,52.0,5.0
259,AL,2001,Oct,171.8,15.0
260,AL,2001,Nov,94.5,22.0
261,AL,2001,Dec,115.9,30.0
262,AL,2002,Jan,356.5,12.0
263,AL,2002,Mar,201.7,27.0
264,AL,2002,Apr,133.8,6.0
265,AL,2002,May,360.2,1.0
266,AL,2002,Jun,408.8,0.0
267,AL,2002,Jul,109.9,5.0
268,AL,2002,Aug,177.1,3.0
269,AL,2002,Sep,44.8,14.0
270,AL,2002,Oct,32.9,30.0
271,AL,2002,Nov,91.9,50.0
272,AL,2002,Dec,3.0,95.0
273,AL,2003,Jan,37.2,150.0
274,AL,2003,Mar,135.7,15.0
275,AL,2003,Apr,124.7,20.0
276,AL,2003,May,179.4,1.0
277,AL,2003,Jun,238.3,0.0
278,AL,2003,Jul,229.1,0.0
279,AL,2003,Aug,144.5,2.0
280,AL,2003,Sep,139.3,8.0
281,AL,2003,Oct,75.9,10.0
282,AL,2003,Nov,72.2,17.0
283,AL,2003,Dec,18.9,43.0
284,AL,2004,Jan,222.8,9.0
285,AL,2004,Mar,166.6,16.0
286,AL,2004,Apr,129.5,6.0
287,AL,2004,May,157.4,3.0
288,AL,2004,Jun,716.4,0.0
289,AL,2004,Jul,318.4,0.0
290,AL,2004,Aug,204.5,2.0
291,AL,2004,Sep,163.3,5.0
292,AL,2004,Oct,32.9,12.0
293,AL,2004,Nov,18.9,28.0
294,AL,2004,Dec,5.1,71.0
295,AL,2005,Jan,5.9,83.0
296,AL,2005,Mar,56.4,35.0
297,AL,2005,Apr,126.2,1.0
298,AL,2005,May,394.0,0.0
299,AL,2005,Jun,346.6,0.0
300,AL,2005,Jul,162.0,0.0
301,AL,2005,Aug,211.9,2.0
302,AL,2005,Sep,44.0,7.0
303,AL,2005,Oct,32.4,17.0
304,AL,2005,Nov,12.1,25.0
305,AL,2005,Dec,91.5,16.0
306,AL,2006,Jan,57.8,29.0
307,AL,2006,Mar,114.2,37.0
308,AL,2006,Apr,157.1,2.0
309,AL,2006,May,590.1,0.0
310,AL,2006,Jun,349.4,0.0
311,AL,2006,Jul,234.4,0.0
312,AL,2006,Aug,119.0,1.0
313,AL,2006,Sep,135.5,4.0
314,AL,2006,Oct,66.6,32.0
315,AL,2006,Nov,38.4,12.0
316,AL,2006,Dec,15.6,30.0
317,AL,2007,Jan,0.0,33.0
318,AL,2008,Sep,5.8,9.0
319,AL,2008,Oct,64.3,18.0
320,AL,2008,Nov,13.2,37.0
321,AL,2008,Dec,20.7,34.0
322,AL,2009,Jan,35.0,104.0
323,AL,2009,Mar,205.8,31.0
324,AL,2009,Apr,190.1,5.0
325,AL,2009,May,788.5,0.0
326,AL,2009,Jun,462.1,0.0
327,AL,2009,Jul,273.3,0.0
328,AL,2009,Aug,331.5,0.0
329,AL,2009,Sep,103.7,13.0
330,AL,2009,Oct,14.9,30.0
331,AL,2009,Nov,16.8,55.0
332,AL,2009,Dec,30.5,55.0
333,AL,2010,Jan,212.3,23.0
334,AL,2010,Mar,151.1,70.0
335,AL,2010,Apr,172.5,3.0
336,AL,2010,May,152.1,0.0
337,AL,2010,Jun,713.0,0.0
338,AL,2010,Jul,257.0,2.0
339,AL,2010,Aug,188.0,1.0
340,AL,2010,Sep,146.8,5.0
341,AL,2010,Oct,96.8,16.0
342,AL,2010,Nov,5.7,31.0
343,AL,2010,Dec,22.2,45.0
344,AL,2011,Jan,142.1,41.0
345,AL,2011,Mar,17.5,34.0
346,AL,2011,Apr,595.4,17.0
347,AL,2011,May,397.3,0.0
348,AL,2011,Jun,235.0,2.0
349,AL,2011,Jul,366.2,0.0
350,AL,2011,Aug,209.1,4.0
351,AL,2011,Sep,111.1,5.0
352,AL,2011,Oct,49.8,23.0
353,AL,2011,Nov,112.3,23.0
354,AL,2011,Dec,14.2,50.0
355,AL,2012,Jan,189.9,36.0
356,AL,2012,Mar,139.9,44.0
357,AL,2012,Apr,56.6,18.0
358,AL,2012,May,85.3,21.0
359,AL,2012,Jun,272.8,4.0
360,AL,2012,Jul,271.3,0.0
361,AL,2012,Aug,154.4,0.0
362,AL,2012,Sep,27.0,6.0
363,AL,2012,Oct,69.8,28.0
364,AL,2012,Nov,0.0,95.0
365,AL,2012,Dec,13.8,59.0
366,AL,2013,Jan,63.6,49.0
367,AL,2013,Mar,25.6,31.0
368,AL,2013,Apr,174.4,25.0
369,AL,2013,May,266.3,2.0
370,AL,2013,Jun,252.3,1.0
371,AL,2013,Jul,388.8,0.0
372,AL,2013,Aug,174.9,0.0
373,AL,2013,Sep,97.4,4.0
374,AL,2013,Oct,218.6,25.0
375,AL,2013,Nov,111.7,10.0
376,AL,2013,Dec,11.4,42.0
377,AL,2014,Jan,52.1,54.0
378,AL,2014,Mar,53.5,28.0
379,AL,2014,Apr,152.9,16.0
380,AL,2014,May,396.4,1.0
381,AL,2014,Jun,181.4,2.0
382,AL,2014,Jul,223.3,1.0
383,AL,2014,Aug,162.6,3.0
384,AL,2014,Sep,142.6,11.0
385,AL,2014,Oct,273.3,7.0
386,AL,2014,Nov,50.5,14.0
387,AL,2014,Dec,31.7,24.0
388,AL,2015,Jan,29.0,81.0
389,AL,2015,Mar,58.6,32.0
390,AL,2015,Apr,17.6,63.0
391,AL,2015,May,223.8,18.0
392,AL,2015,Jun,347.9,2.0
393,AL,2015,Jul,312.8,0.0
394,AL,2015,Aug,163.8,3.0
395,AL,2015,Sep,42.8,7.0
396,AL,2015,Oct,53.4,40.0
397,AL,2015,Nov,1.6,162.0
398,AL,2015,Dec,73.4,136.0
399,AL,2016,Jan,160.0,24.0
400,AL,2016,Mar,152.8,9.0
401,AL,2016,Apr,142.7,13.0
402,AL,2016,May,312.3,4.0
403,AL,2016,Jun,171.3,5.0
404,AL,2016,Jul,136.5,3.0
405,AL,2016,Aug,94.1,5.0
406,AL,2016,Sep,63.9,18.0
407,AL,2016,Oct,13.2,74.0
408,AL,2016,Nov,22.5,76.0
409,AL,2016,Dec,29.6,155.0
410,AL,2017,Jan,53.1,38.0
411,AL,2017,Jan,53.1,38.0
412,AL,2017,Mar,62.4,23.0
413,AL,2017,Apr,244.9,7.0
414,AL,2017,May,813.2,1.0
415,AL,2017,Jun,551.7,2.0
416,AL,2017,Jul,645.8,0.0
417,AL,2017,Aug,316.7,1.0
418,AL,2017,Sep,186.3,4.0
419,AL,2017,Oct,67.5,14.0
420,AL,2017,Nov,14.5,10.0
421,AM,1998,Jan,302.6,0.0
422,AM,1998,Mar,210.8,0.0
423,AM,1998,Apr,407.2,0.0
424,AM,1998,May,273.4,0.0
425,AM,1998,Jun,167.2,2.0
426,AM,1998,Jul,92.0,71.0
427,AM,1998,Aug,41.8,321.0
428,AM,1998,Sep,115.6,267.0
429,AM,1998,Oct,73.5,83.0
430,AM,1998,Nov,153.6,6.0
431,AM,1998,Dec,191.0,196.0
432,AM,1999,Jan,411.6,3.0
433,AM,1999,Mar,233.2,7.0
434,AM,1999,Apr,421.2,2.0
435,AM,1999,May,445.4,0.0
436,AM,1999,Jun,149.3,7.0
437,AM,1999,Jul,25.3,11.0
438,AM,1999,Aug,40.6,259.0
439,AM,1999,Sep,98.8,216.0
440,AM,1999,Oct,132.3,479.0
441,AM,1999,Nov,203.5,32.0
442,AM,1999,Dec,198.3,2.0
443,AM,2000,Jan,350.2,7.0
444,AM,2000,Mar,340.7,69.0
445,AM,2000,Apr,535.4,18.0
446,AM,2000,May,172.6,51.0
447,AM,2000,Jun,48.2,6.0
448,AM,2000,Jul,40.8,39.0
449,AM,2000,Aug,140.0,180.0
450,AM,2000,Sep,218.1,189.0
451,AM,2000,Oct,47.2,145.0
452,AM,2000,Nov,169.7,27.0
453,AM,2000,Dec,192.3,60.0
454,AM,2001,Jan,348.4,3.0
455,AM,2001,Mar,216.8,6.0
456,AM,2001,Apr,188.2,1.0
457,AM,2001,May,231.6,0.0
458,AM,2001,Jun,164.1,5.0
459,AM,2001,Jul,30.6,9.0
460,AM,2001,Aug,14.9,501.0
461,AM,2001,Sep,88.2,166.0
462,AM,2001,Oct,28.1,332.0
463,AM,2001,Nov,55.0,244.0
464,AM,2001,Dec,213.0,22.0
465,AM,2002,Jan,380.8,17.0
466,AM,2002,Mar,195.3,5.0
467,AM,2002,Apr,376.7,2.0
468,AM,2002,May,262.9,8.0
469,AM,2002,Jun,159.1,5.0
470,AM,2002,Jul,3.4,146.0
471,AM,2002,Aug,35.4,741.0
472,AM,2002,Sep,60.1,928.0
473,AM,2002,Oct,216.1,695.0
474,AM,2002,Nov,81.2,259.0
475,AM,2002,Dec,311.2,44.0
476,AM,2003,Jan,105.8,158.0
477,AM,2003,Mar,209.2,64.0
478,AM,2003,Apr,390.1,11.0
479,AM,2003,May,219.6,2.0
480,AM,2003,Jun,110.7,3.0
481,AM,2003,Jul,93.0,180.0
482,AM,2003,Aug,118.3,1.867
483,AM,2003,Sep,60.9,1.401
