state,,year,month,precipitation
AC,1/31/1998,1998,Jan,335.5
AC,2/28/1998,1998,Feb,299.4
AC,3/31/1998,1998,Mar,396.7
AC,4/30/1998,1998,Apr,102.7
AC,5/31/1998,1998,May,19
AC,6/30/1998,1998,Jun,5
AC,7/31/1998,1998,Jul,38.6
AC,8/31/1998,1998,Aug,63
AC,9/30/1998,1998,Sep,61.6
AC,10/31/1998,1998,Oct,265.6
AC,11/30/1998,1998,Nov,304.8
AC,12/31/1998,1998,Dec,404.2
AC,1/31/1999,1999,Jan,463.6
AC,2/28/1999,1999,Feb,209.1
AC,3/31/1999,1999,Mar,222.2
AC,4/30/1999,1999,Apr,188.5
AC,5/31/1999,1999,May,134.3
AC,6/30/1999,1999,Jun,52.7
AC,7/31/1999,1999,Jul,42.8
AC,8/31/1999,1999,Aug,81.4
AC,9/30/1999,1999,Sep,185.5
AC,10/31/1999,1999,Oct,163.2
AC,11/30/1999,1999,Nov,158.7
AC,12/31/1999,1999,Dec,280.2
AC,1/31/2000,2000,Jan,188.8
AC,2/29/2000,2000,Feb,258.4
AC,3/31/2000,2000,Mar,151.2
AC,4/30/2000,2000,Apr,244.6
AC,5/31/2000,2000,May,60.2
AC,6/30/2000,2000,Jun,8.9
AC,7/31/2000,2000,Jul,54.2
AC,8/31/2000,2000,Aug,29.4
AC,9/30/2000,2000,Sep,140.1
AC,10/31/2000,2000,Oct,168.9
AC,11/30/2000,2000,Nov,187.2
AC,12/31/2000,2000,Dec,211.6
AC,1/31/2001,2001,Jan,317.2
AC,2/28/2001,2001,Feb,220.7
AC,3/31/2001,2001,Mar,361.5
AC,4/30/2001,2001,Apr,199.9
AC,5/31/2001,2001,May,125.9
AC,6/30/2001,2001,Jun,41.8
AC,7/31/2001,2001,Jul,36.8
AC,8/31/2001,2001,Aug,2.5
AC,9/30/2001,2001,Sep,25.7
AC,10/31/2001,2001,Oct,148.7
AC,11/30/2001,2001,Nov,159.5
AC,12/31/2001,2001,Dec,286.7
AC,1/31/2002,2002,Jan,217.3
AC,2/28/2002,2002,Feb,323.5
AC,3/31/2002,2002,Mar,225.5
AC,4/30/2002,2002,Apr,261.3
AC,5/31/2002,2002,May,104.3
AC,6/30/2002,2002,Jun,45
AC,7/31/2002,2002,Jul,16.7
AC,8/31/2002,2002,Aug,124.7
AC,9/30/2002,2002,Sep,45.5
AC,10/31/2002,2002,Oct,173.3
AC,11/30/2002,2002,Nov,126.9
AC,12/31/2002,2002,Dec,245.9
AC,1/31/2003,2003,Jan,286.5
AC,2/28/2003,2003,Feb,266.5
AC,3/31/2003,2003,Mar,246.3
AC,4/30/2003,2003,Apr,172.6
AC,5/31/2003,2003,May,131.6
AC,6/30/2003,2003,Jun,28.2
AC,7/31/2003,2003,Jul,17
AC,8/31/2003,2003,Aug,93
AC,9/30/2003,2003,Sep,155.9
AC,10/31/2003,2003,Oct,36.2
AC,11/30/2003,2003,Nov,116.7
AC,12/31/2003,2003,Dec,246.6
AC,1/31/2004,2004,Jan,214.5
AC,2/29/2004,2004,Feb,271.6
AC,3/31/2004,2004,Mar,469.5
AC,4/30/2004,2004,Apr,104.2
AC,5/31/2004,2004,May,123.7
AC,6/30/2004,2004,Jun,53.5
AC,7/31/2004,2004,Jul,46.6
AC,8/31/2004,2004,Aug,58.5
AC,9/30/2004,2004,Sep,35.6
AC,10/31/2004,2004,Oct,256.9
AC,11/30/2004,2004,Nov,288.2
AC,12/31/2004,2004,Dec,167.6
AC,1/31/2005,2005,Jan,140
AC,2/28/2005,2005,Feb,394.5
AC,3/31/2005,2005,Mar,218.8
AC,4/30/2005,2005,Apr,229.4
AC,5/31/2005,2005,May,49.4
AC,6/30/2005,2005,Jun,25
AC,7/31/2005,2005,Jul,6.3
AC,8/31/2005,2005,Aug,0
AC,9/30/2005,2005,Sep,23.2
AC,10/31/2005,2005,Oct,194.6
AC,11/30/2005,2005,Nov,131.7
AC,12/31/2005,2005,Dec,338.8
AC,1/31/2006,2006,Jan,212.3
AC,2/28/2006,2006,Feb,373
AC,3/31/2006,2006,Mar,181.7
AC,4/30/2006,2006,Apr,230
AC,5/31/2006,2006,May,98.1
AC,6/30/2006,2006,Jun,16.2
AC,7/31/2006,2006,Jul,5.5
AC,8/31/2006,2006,Aug,66.7
AC,9/30/2006,2006,Sep,91.3
AC,10/31/2006,2006,Oct,136.6
AC,11/30/2006,2006,Nov,233.2
AC,12/31/2006,2006,Dec,410
AC,1/31/2007,2007,Jan,348.2
AC,2/28/2007,2007,Feb,267.9
AC,3/31/2007,2007,Mar,246.3
AC,4/30/2007,2007,Apr,122.8
AC,5/31/2007,2007,May,30.5
AC,6/30/2007,2007,Jun,51.3
AC,7/31/2007,2007,Jul,20.3
AC,8/31/2007,2007,Aug,38.3
AC,9/30/2007,2007,Sep,150.6
AC,10/31/2007,2007,Oct,122.6
AC,11/30/2007,2007,Nov,145.6
AC,12/31/2007,2007,Dec,221.8
AC,1/31/2008,2008,Jan,349.8
AC,2/29/2008,2008,Feb,284.8
AC,3/31/2008,2008,Mar,179
AC,4/30/2008,2008,Apr,139.5
AC,5/31/2008,2008,May,54.7
AC,6/30/2008,2008,Jun,11.4
AC,7/31/2008,2008,Jul,72.6
AC,8/31/2008,2008,Aug,32.2
AC,9/30/2008,2008,Sep,41.8
AC,10/31/2008,2008,Oct,159.4
AC,11/30/2008,2008,Nov,228.9
AC,12/31/2008,2008,Dec,287.3
AC,1/31/2009,2009,Jan,173.7
AC,2/28/2009,2009,Feb,274.3
AC,3/31/2009,2009,Mar,201.6
