,Ano,State,Number
0,1998,AC,730
1,1998,AL,86
2,1998,AM,946
3,1998,AP,278
4,1998,BA,5907
5,1998,CE,2625
6,1998,DF,103
7,1998,ES,218
8,1998,GO,6863
9,1998,MA,14236
10,1998,MG,4304
11,1998,MS,2109
12,1998,MT,34647
13,1998,PA,20282
14,1998,PB,332
15,1998,PE,767
16,1998,PI,6066
17,1998,PR,484
18,1998,RJ,102
19,1998,RN,176
20,1998,RO,6917
21,1998,RR,21
22,1998,RS,871
23,1998,SC,59
24,1998,SE,20
25,1998,SP,3196
26,1998,TO,11536
27,1999,AC,333
28,1999,AL,172
29,1999,AM,1061
30,1999,AP,101
31,1999,BA,3777
32,1999,CE,1688
33,1999,DF,46
34,1999,ES,240
35,1999,GO,5003
36,1999,MA,8711
37,1999,MG,5160
38,1999,MS,13012
39,1999,MT,44312
40,1999,PA,20479
41,1999,PB,178
42,1999,PE,463
43,1999,PI,3452
44,1999,PR,3259
45,1999,RJ,356
46,1999,RN,291
47,1999,RO,7124
48,1999,RR,220
49,1999,RS,493
50,1999,SC,364
51,1999,SE,93
52,1999,SP,5459
53,1999,TO,6679
54,2000,AC,434
55,2000,AL,123
56,2000,AM,853
57,2000,AP,253
58,2000,BA,3993
59,2000,CE,2211
60,2000,DF,48
61,2000,ES,175
62,2000,GO,3808
63,2000,MA,8983
64,2000,MG,3552
65,2000,MS,3074
66,2000,MT,26064
67,2000,PA,18207
68,2000,PB,259
69,2000,PE,691
70,2000,PI,4765
71,2000,PR,2545
72,2000,RJ,121
73,2000,RN,145
74,2000,RO,5498
75,2000,RR,362
76,2000,RS,384
77,2000,SC,306
78,2000,SE,17
79,2000,SP,4128
80,2000,TO,6542
81,2001,AC,828
82,2001,AL,86
83,2001,AM,1297
84,2001,AP,1301
85,2001,BA,8073
86,2001,CE,6344
87,2001,DF,64
88,2001,ES,130
89,2001,GO,3927
90,2001,MA,18839
91,2001,MG,3734
92,2001,MS,6078
93,2001,MT,25408
94,2001,PA,28587
95,2001,PB,804
96,2001,PE,1080
97,2001,PI,9482
98,2001,PR,1269
99,2001,RJ,307
100,2001,RN,301
101,2001,RO,5059
102,2001,RR,2416
103,2001,RS,249
104,2001,SC,200
105,2001,SE,24
106,2001,SP,2926
107,2001,TO,9113
108,2002,AC,3491
109,2002,AL,258
110,2002,AM,2852
111,2002,AP,1957
112,2002,BA,16048
113,2002,CE,6556
114,2002,DF,149
115,2002,ES,297
116,2002,GO,4760
117,2002,MA,16372
118,2002,MG,8800
119,2002,MS,11219
120,2002,MT,55562
121,2002,PA,38804
122,2002,PB,732
123,2002,PE,1909
124,2002,PI,8129
125,2002,PR,4178
126,2002,RJ,605
127,2002,RN,679
128,2002,RO,15524
129,2002,RR,2224
130,2002,RS,1661
131,2002,SC,1715
132,2002,SE,208
133,2002,SP,3539
134,2002,TO,11787
135,2003,AC,6859
136,2003,AL,299
137,2003,AM,4789
138,2003,AP,1652
139,2003,BA,17212
140,2003,CE,8312
141,2003,DF,96
142,2003,ES,708
143,2003,GO,4921
144,2003,MA,23382
145,2003,MG,16247
146,2003,MS,4130
147,2003,MT,35406
148,2003,PA,32100
149,2003,PB,1381
150,2003,PE,2431
151,2003,PI,8936
152,2003,PR,6980
153,2003,RJ,553
154,2003,RN,1262
155,2003,RO,7803
156,2003,RR,2919
157,2003,RS,3041
158,2003,SC,4458
159,2003,SE,403
160,2003,SP,3306
161,2003,TO,8890
162,2004,AC,3160
163,2004,AL,159
164,2004,AM,3504
165,2004,AP,2261
166,2004,BA,10423
167,2004,CE,4780
168,2004,DF,279
169,2004,ES,174
170,2004,GO,7531
171,2004,MA,22361
172,2004,MG,10849
173,2004,MS,6894
174,2004,MT,77014
175,2004,PA,47823
176,2004,PB,968
177,2004,PE,1683
178,2004,PI,9376
179,2004,PR,3163
180,2004,RJ,421
181,2004,RN,661
182,2004,RO,13421
183,2004,RR,1457
184,2004,RS,2355
185,2004,SC,2955
186,2004,SE,190
187,2004,SP,2864
188,2004,TO,12202
189,2005,AC,9427
190,2005,AL,217
191,2005,AM,6780
192,2005,AP,1271
193,2005,BA,16410
194,2005,CE,4672
195,2005,DF,92
196,2005,ES,121
197,2005,GO,4764
198,2005,MA,22251
199,2005,MG,11259
200,2005,MS,7713
201,2005,MT,41237
202,2005,PA,40226
203,2005,PB,815
204,2005,PE,1520
205,2005,PI,10201
206,2005,PR,2612
207,2005,RJ,338
208,2005,RN,829
209,2005,RO,24858
210,2005,RR,860
211,2005,RS,1130
212,2005,SC,1483
213,2005,SE,200
214,2005,SP,2123
215,2005,TO,10885
216,2006,AC,1456
217,2006,AL,161
218,2006,AM,4634
219,2006,AP,817
220,2006,BA,7589
221,2006,CE,3280
222,2006,DF,76
223,2006,ES,215
224,2006,GO,2756
225,2006,MA,11283
226,2006,MG,2739
227,2006,MS,3380
228,2006,MT,27265
229,2006,PA,27368
230,2006,PB,671
231,2006,PE,1268
232,2006,PI,5416
