state,year,square km
AC,1998,536.0
AC,1999,441.0
AC,2000,547.0
AC,2001,419.0
AC,2002,883.0
AC,2003,1078.0
AC,2004,728.0
AC,2005,592.0
AC,2006,398.0
AC,2007,184.0
AC,2008,254.0
AC,2009,167.0
AC,2010,259.0
AC,2011,280.0
AC,2012,305.0
AC,2013,221.0
AC,2014,309.0
AC,2015,264.0
AC,2016,372.0
AC,2017,257.0
AM,1998,670.0
AM,1999,720.0
AM,2000,612.0
AM,2001,634.0
AM,2002,885.0
AM,2003,1558.0
AM,2004,1232.0
AM,2005,775.0
AM,2006,788.0
AM,2007,610.0
AM,2008,604.0
AM,2009,405.0
AM,2010,595.0
AM,2011,502.0
AM,2012,523.0
AM,2013,583.0
AM,2014,500.0
AM,2015,712.0
AM,2016,1129.0
AM,2017,1001.0
AP,1998,30.0
AP,1999,0.0
AP,2000,0.0
AP,2001,7.0
AP,2002,0.0
AP,2003,25.0
AP,2004,46.0
AP,2005,33.0
AP,2006,30.0
AP,2007,39.0
AP,2008,100.0
AP,2009,70.0
AP,2010,53.0
AP,2011,66.0
AP,2012,27.0
AP,2013,23.0
AP,2014,31.0
AP,2015,25.0
AP,2016,17.0
AP,2017,24.0
MA,1998,1012.0
MA,1999,1230.0
MA,2000,1065.0
MA,2001,958.0
MA,2002,1085.0
MA,2003,993.0
MA,2004,755.0
MA,2005,922.0
MA,2006,674.0
MA,2007,631.0
MA,2008,1271.0
MA,2009,828.0
MA,2010,712.0
MA,2011,396.0
MA,2012,269.0
MA,2013,403.0
MA,2014,257.0
MA,2015,209.0
MA,2016,258.0
MA,2017,265.0
MT,1998,6466.0
MT,1999,6963.0
MT,2000,6369.0
MT,2001,7703.0
MT,2002,7892.0
MT,2003,10405.0
MT,2004,11814.0
MT,2005,7145.0
MT,2006,4333.0
MT,2007,2678.0
MT,2008,3258.0
MT,2009,1049.0
MT,2010,871.0
MT,2011,1120.0
MT,2012,757.0
MT,2013,1139.0
MT,2014,1075.0
MT,2015,1601.0
MT,2016,1489.0
MT,2017,1561.0
PA,1998,5829.0
PA,1999,5111.0
PA,2000,6671.0
PA,2001,5237.0
PA,2002,7510.0
PA,2003,7145.0
PA,2004,8870.0
PA,2005,5899.0
PA,2006,5659.0
PA,2007,5526.0
PA,2008,5607.0
PA,2009,4281.0
PA,2010,3770.0
PA,2011,3008.0
PA,2012,1741.0
PA,2013,2346.0
PA,2014,1887.0
PA,2015,2153.0
PA,2016,2992.0
PA,2017,2433.0
RO,1998,2041.0
RO,1999,2358.0
RO,2000,2465.0
RO,2001,2673.0
RO,2002,3099.0
RO,2003,3597.0
RO,2004,3858.0
RO,2005,3244.0
RO,2006,2049.0
RO,2007,1611.0
RO,2008,1136.0
RO,2009,482.0
RO,2010,435.0
RO,2011,865.0
RO,2012,773.0
RO,2013,932.0
RO,2014,684.0
RO,2015,1030.0
RO,2016,1376.0
RO,2017,1243.0
RR,1998,223.0
RR,1999,220.0
RR,2000,253.0
RR,2001,345.0
RR,2002,84.0
RR,2003,439.0
RR,2004,311.0
RR,2005,133.0
RR,2006,231.0
RR,2007,309.0
RR,2008,574.0
RR,2009,121.0
RR,2010,256.0
RR,2011,141.0
RR,2012,124.0
RR,2013,170.0
RR,2014,219.0
RR,2015,156.0
RR,2016,202.0
RR,2017,132.0
TO,1998,576.0
TO,1999,216.0
TO,2000,244.0
TO,2001,189.0
TO,2002,212.0
TO,2003,156.0
TO,2004,158.0
TO,2005,271.0
TO,2006,124.0
TO,2007,63.0
TO,2008,107.0
TO,2009,61.0
TO,2010,49.0
TO,2011,40.0
TO,2012,52.0
TO,2013,74.0
TO,2014,50.0
TO,2015,57.0
TO,2016,58.0
TO,2017,31.0
